"Time","24d3987e9b67","6c0244b574f8","e3db9527e60b","e6f3d5f0b9f2"
1591627648000,,,,
1591627649000,,,,
1591627650000,227702,,,226515
1591627651000,,,273299,
1591627652000,,275170,,
1591627653000,,,,
1591627654000,,,,
1591627655000,,,,231672
1591627656000,232856,,278456,
1591627657000,,280319,,
1591627658000,,,,
1591627659000,,,,
1591627660000,,,,
1591627661000,238018,,283607,236820
1591627662000,,,,
1591627663000,,285468,,
1591627664000,,,,
1591627665000,,,,
1591627666000,243179,,288758,241965
1591627667000,,,,
1591627668000,,290614,,
1591627669000,,,,
1591627670000,,,,
1591627671000,248340,,293913,247116
1591627672000,,,,
1591627673000,,295766,,
1591627674000,,,,
1591627675000,,,,
1591627676000,253493,,299060,252269
1591627677000,,,,
1591627678000,,300916,,
1591627679000,,,,
1591627680000,,,,
1591627681000,258646,,,257414
1591627682000,,,304207,
1591627683000,,306065,,
1591627684000,,,,
1591627685000,,,,
1591627686000,,,,262567
1591627687000,263801,,309355,
1591627688000,,311220,,
1591627689000,,,,
1591627690000,,,,
1591627691000,,,,267718
1591627692000,268951,,314511,
1591627693000,,316371,,
1591627694000,,,,
1591627695000,,,,
1591627696000,,,,
1591627697000,274106,,319664,272870
1591627698000,,,,
1591627699000,,321517,,
1591627700000,,,,
1591627701000,,,,
1591627702000,279251,,324810,278023
1591627703000,,,,
1591627704000,,326664,,
1591627705000,,,,
1591627706000,,,,
1591627707000,284398,,329955,283181
1591627708000,,,,
1591627709000,,331820,,
1591627710000,,,,
1591627711000,,,,
1591627712000,289545,,335103,288326
1591627713000,,,,
1591627714000,,336970,,
1591627715000,,,,
1591627716000,,,,
1591627717000,,,,293473
1591627718000,294696,,340255,
1591627719000,,342135,,
1591627720000,,,,
1591627721000,,,,
1591627722000,,,,298622
1591627723000,299842,,345402,
1591627724000,,347299,,
1591627725000,,,,
1591627726000,,,,
1591627727000,,,,
1591627728000,304993,,350553,303769
1591627729000,,,,
1591627730000,,352456,,
1591627731000,,,,
1591627732000,,,,
1591627733000,310154,,355701,308916
1591627734000,,,,
1591627735000,,357603,,
1591627736000,,,,
1591627737000,,,,
1591627738000,315305,,360848,314071
1591627739000,,,,
1591627740000,,362758,,
1591627741000,,,,
1591627742000,,,,
1591627743000,320452,,365994,319217
1591627744000,,,,
1591627745000,,367906,,
1591627746000,,,,
1591627747000,,,,
1591627748000,325610,,,324365
1591627749000,,,371152,
1591627750000,,373059,,
1591627751000,,,,
1591627752000,,,,
1591627753000,,,,329512
1591627754000,330757,,376303,
1591627755000,,378205,,
1591627756000,,,,
1591627757000,,,,
1591627758000,,,,334664
1591627759000,335903,,381450,
1591627760000,,383358,,
1591627761000,,,,
1591627762000,,,,
1591627763000,,,,
1591627764000,,,,339811

