"Time","192.168.1.165","192.168.1.179","192.168.1.200","192.168.1.206"
1592505398500,,,,
1592505399000,,,,
1592505399500,,,,
1592505400000,41728,,,
1592505400500,,,,
1592505401000,,,,
1592505401500,,,,
1592505402000,,,,
1592505402500,,,,
1592505403000,,60384,,49536
1592505403500,,,,
1592505404000,,,48224,
1592505404500,,,,
1592505405000,59504,,,
1592505405500,,,,
1592505406000,,,,
1592505406500,,,,
1592505407000,,,,
1592505407500,,,,
1592505408000,,37072,,30832
1592505408500,,,,
1592505409000,,,31904,
1592505409500,,,,
1592505410000,,,,
1592505410500,,,,
1592505411000,,,,
1592505411500,,,,
1592505412000,54928,,,
1592505412500,,,,
1592505413000,,,,
1592505413500,,,,
1592505414000,,47632,,41696
1592505414500,,,,
1592505415000,,,43424,
1592505415500,,,,
1592505416000,,,,
1592505416500,,,,
1592505417000,59968,,,
1592505417500,,,,
1592505418000,,,,
1592505418500,,,,
1592505419000,,28736,,52576
1592505419500,,,,
1592505420000,,,26240,
1592505420500,,,,
1592505421000,,,,
1592505421500,,,,
1592505422000,,,,
1592505422500,,,,
1592505423000,,,,
1592505423500,,,,
1592505424000,,,,34016
1592505424500,,,,
1592505425000,,40336,38944,
1592505425500,,,,
1592505426000,,,,
1592505426500,,,,
1592505427000,,,,
1592505427500,,,,
1592505428000,,,,
1592505428500,,,,
1592505429000,,,,
1592505429500,,,,
1592505430000,,51216,,45536
1592505430500,,,,
1592505431000,,,49824,
1592505431500,,,,
1592505432000,43280,,,
1592505432500,,,,
1592505433000,,,,
1592505433500,,,,
1592505434000,,,,
1592505434500,,,,
1592505435000,,34896,,29984
1592505435500,,,,
1592505436000,,,34144,
1592505436500,,,,
1592505437000,,,,
1592505437500,,,,
1592505438000,,,,
1592505438500,,,,
1592505439000,,,,
1592505439500,,,,
1592505440000,99360,,,
1592505440500,,,,
1592505441000,,45776,,41056
1592505441500,,,,
1592505442000,,,48432,
1592505442500,,,,
1592505443000,,,,
1592505443500,,,,
1592505444000,,,,
1592505444500,,,,
1592505445000,,,,
1592505445500,,,,
1592505446000,107168,27552,,51936
1592505446500,,,,
1592505447000,,,32448,
1592505447500,,,,
1592505448000,,,,
1592505448500,,,,
1592505449000,,,,
1592505449500,,,,
1592505450000,,,,
1592505450500,,,,
1592505451000,,,,
1592505451500,,,,
1592505452000,,41424,,35616
1592505452500,,,,
1592505453000,,,47456,
1592505453500,,,,
1592505454000,,,,
1592505454500,,,,
1592505455000,,,,
1592505455500,,,,
1592505456000,,,,
1592505456500,,,,
1592505457000,,57200,,47008
1592505457500,,,,
1592505458000,,,31120,
1592505458500,,,,
1592505459000,,,,
1592505459500,,,,
1592505460000,,,,
1592505460500,,,,
1592505461000,,,,
1592505461500,,,,
1592505462000,47232,,,
1592505462500,,,,
1592505463000,,41856,,32784
1592505463500,,,,
1592505464000,,,41504,
1592505464500,,,,
1592505465000,,,,
1592505465500,,,,
1592505466000,,,,
1592505466500,,,,
1592505467000,80304,,,
1592505467500,,,,
1592505468000,,56064,,44256
1592505468500,,,,
1592505469000,,,53344,
1592505469500,,,,
1592505470000,,,,
1592505470500,,,,
1592505471000,,,,
1592505471500,,,,
1592505472000,,,,
1592505472500,,,,
1592505473000,,,,26096
1592505473500,,,,
1592505474000,,35600,,
1592505474500,,,,
1592505475000,82096,,37984,
1592505475500,,,,
1592505476000,,,,
1592505476500,,,,
1592505477000,,,,
1592505477500,,,,
1592505478000,,,,
1592505478500,,,,
1592505479000,,46096,,38496
1592505479500,,,,
1592505480000,93456,,49504,
1592505480500,,,,
1592505481000,,,,
1592505481500,,,,
1592505482000,,,,
1592505482500,,,,
1592505483000,,,,
1592505483500,,,,
1592505484000,,,,49376
1592505484500,,,,
1592505485000,,27616,,
1592505485500,,,,
1592505486000,,,33824,
1592505486500,,,,
1592505487000,,,,
1592505487500,,,,
1592505488000,,,,
1592505488500,,,,
1592505489000,,,,
