"Time","2cc03f84f448","52927ab52af2","7decf356f00d","893647222d5c"
1592685438500,,,,
1592685439000,,1920448,,
1592685439500,,,,
1592685440000,,,,
1592685440500,,,,
1592685441000,1974944,,,
1592685441500,,,,
1592685442000,,,,1921792
1592685442500,,,,
1592685443000,,,1961248,
1592685443500,,,,
1592685444000,,1947072,,
1592685444500,,,,
1592685445000,,,,
1592685445500,,,,
1592685446000,1960160,,,
1592685446500,,,,
1592685447000,,,,1964032
1592685447500,,,,
1592685448000,,,1971360,
1592685448500,,,,
1592685449000,,1928960,,
1592685449500,,,,
1592685450000,,,,
1592685450500,,,,
1592685451000,1986752,,,
1592685451500,,,,
1592685452000,,,,1966912
1592685452500,,,,
1592685453000,,,1972640,
1592685453500,,,,
1592685454000,,1908064,,
1592685454500,,,,
1592685455000,,,,
1592685455500,,,,
1592685456000,1972736,,,
1592685456500,,,,
1592685457000,,,,
1592685457500,,,,
1592685458000,,,,1956672
1592685458500,,,,
1592685459000,,,1959328,
1592685459500,,,,
1592685460000,,,,
1592685460500,,,,
1592685461000,,,,
1592685461500,,,,
1592685462000,,,,
1592685462500,,,,
1592685463000,,,,
1592685463500,,,,
1592685464000,,,,
1592685464500,,,,
1592685465000,,,,
1592685465500,,,,
1592685466000,,,,
1592685466500,,,,
1592685467000,,,,
1592685467500,,,,
1592685468000,,,,
1592685468500,,,,
1592685469000,,,,
1592685469500,,,,
1592685470000,,,,
1592685470500,,,,
1592685471000,,,,
1592685471500,,,,
1592685472000,,,,
1592685472500,,,,
1592685473000,,,,
1592685473500,,,,
1592685474000,,,,
1592685474500,,,,
1592685475000,,,,
1592685475500,,,,
1592685476000,,,,
1592685476500,,,,
1592685477000,,,,
1592685477500,,,,
1592685478000,,,,1980704
1592685478500,,,,
1592685479000,,1979968,,
1592685479500,,,,
1592685480000,1982080,,,
1592685480500,,,,
1592685481000,,,1980608,
1592685481500,,,,
1592685482000,,,,
1592685482500,,,,
1592685483000,,,,1863680
1592685483500,,,,
1592685484000,,1999872,,
1592685484500,,,,
1592685485000,2001920,,,
1592685485500,,,,
1592685486000,,,1999872,
1592685486500,,,,
1592685487000,,,,
1592685487500,,,,
1592685488000,,,,1850432
1592685488500,,,,
1592685489000,,1992352,,
1592685489500,,,,
1592685490000,1994400,,,
1592685490500,,,,
1592685491000,,,1992352,
1592685491500,,,,
1592685492000,,,,
1592685492500,,,,
1592685493000,,,,1893792
1592685493500,,,,
1592685494000,,1936416,,
1592685494500,,,,
1592685495000,1972288,,,
1592685495500,,,,
1592685496000,,,1988128,
1592685496500,,,,
1592685497000,,,,
1592685497500,,,,
1592685498000,,,,1865024
1592685498500,,,,
1592685499000,,1963936,,
1592685499500,,,,
1592685500000,1976064,,,
1592685500500,,,,
1592685501000,,,1966720,
1592685501500,,,,
1592685502000,,,,
1592685502500,,,,
1592685503000,,,,1852640
1592685503500,,,,
1592685504000,,1949696,,
1592685504500,,,,
1592685505000,1962528,,,
1592685505500,,,,
1592685506000,,,1943808,
1592685506500,,,,
1592685507000,,,,
1592685507500,,,,
1592685508000,,,,
1592685508500,,,,
1592685509000,,,,1867008
1592685509500,,,,
1592685510000,1949056,1905440,,
1592685510500,,,,
1592685511000,,,1932800,
1592685511500,,,,
1592685512000,,,,
1592685512500,,,,
1592685513000,,,,
1592685513500,,,,
1592685514000,,,,1894496
1592685514500,,,,
1592685515000,,1913024,,
1592685515500,,,,
1592685516000,1948800,,,
1592685516500,,,,
1592685517000,,,1949984,
1592685517500,,,,
1592685518000,,,,
1592685518500,,,,
1592685519000,,,,1878816
1592685519500,,,,
1592685520000,,1953568,,
1592685520500,,,,
1592685521000,1973824,,,
1592685521500,,,,
1592685522000,,,1971104,
1592685522500,,,,
1592685523000,,,,
1592685523500,,,,
1592685524000,,,,1866016
1592685524500,,,,
1592685525000,,1966048,,
1592685525500,,,,
1592685526000,1984832,,,
1592685526500,,,,
1592685527000,,,1980032,
1592685527500,,,,
1592685528000,,,,
1592685528500,,,,
1592685529000,,,,1852576
1592685529500,,,,
1592685530000,,1938912,,
1592685530500,,,,
1592685531000,1969984,,,
1592685531500,,,,
1592685532000,,,1967264,
1592685532500,,,,
1592685533000,,,,
1592685533500,,,,
1592685534000,,,,1893504
1592685534500,,,,
1592685535000,,1919104,,
1592685535500,,,,
1592685536000,1957184,,,
1592685536500,,,,
1592685537000,,,1953824,
1592685537500,,,,
1592685538000,,,,
1592685538500,,,,
1592685539000,,,,1871328
1592685539500,,,,
1592685540000,,1963072,,
1592685540500,,,,
1592685541000,1988512,,,
1592685541500,,,,
1592685542000,,,1976864,
1592685542500,,,,
1592685543000,,,,
1592685543500,,,,
1592685544000,,,,
1592685544500,,,,
1592685545000,,,,1845312
1592685545500,,,,
1592685546000,,1938240,,
1592685546500,,,,
1592685547000,1972064,,,
1592685547500,,,,
1592685548000,,,1963424,
1592685548500,,,,
1592685549000,,,,
1592685549500,,,,
1592685550000,,,,1891648
1592685550500,,,,
1592685551000,,1984928,,
1592685551500,,,,
1592685552000,1958624,,,
1592685552500,,,,
1592685553000,,,1949984,
1592685553500,,,,
1592685554000,,,,
1592685554500,,,,
1592685555000,,,,1870240
1592685555500,,,,
1592685556000,,1968544,,
1592685556500,,,,
1592685557000,1975264,,,
1592685557500,,,,
1592685558000,,,1971104,
1592685558500,,,,
1592685559000,,,,
1592685559500,,,,
1592685560000,,,,1853888
1592685560500,,,,
1592685561000,,1972384,,
1592685561500,,,,
1592685562000,1985856,,,
1592685562500,,,,
1592685563000,,,1980672,
1592685563500,,,,
1592685564000,,,,
1592685564500,,,,
1592685565000,,,,1831968
1592685565500,,,,
1592685566000,,1959808,,
1592685566500,,,,
1592685567000,1970784,,,
1592685567500,,,,
1592685568000,,,1965984,
1592685568500,,,,
1592685569000,,,,
1592685569500,,,,
1592685570000,,,,1892320
1592685570500,,,,
1592685571000,,,,
1592685571500,,,,

