Time,188e2a5d583c,26f29effeddc,4b86a2021b77,8f96fa542f8b
0,0,0,0,0
10,5,5,5,5
20,15,15,15,15
30,25,25,25,25
40,36,38,36,38
50,46,48,46,48
60,56,58,56,58
70,66,68,66,68
80,77,79,77,79
90,87,84,87,84
100,97,94,97,94
110,108,105,108,105
120,118,115,118,115
130,128,125,128,125
140,139,135,139,135
150,149,146,149,146
160,149,151,149,151
170,149,151,149,151
