Time,188e2a5d583c,26f29effeddc,4b86a2021b77,8f96fa542f8b
0,0,0,0,0
10,0,0,0,0
20,0,0,0,0
30,0,0,0,0
40,0,0,0,0
50,0,0,0,0
60,9,9,9,9
70,9,9,9,9
80,9,9,9,9
90,9,9,9,9
100,9,9,9,9
110,9,9,9,9
120,9,9,9,9
130,9,9,9,9
140,9,9,9,9
150,9,9,9,9
160,9,9,9,9
170,9,9,9,9
