device,timestamp
8f96fa542f8b, 1592334400934
4b86a2021b77, 1592334400938
8f96fa542f8b, 1592334400982
26f29effeddc, 1592334400990
4b86a2021b77, 1592334401063
8f96fa542f8b, 1592334401073
8f96fa542f8b, 1592334401119
8f96fa542f8b, 1592334401201
4b86a2021b77, 1592334401215
4b86a2021b77, 1592334401226
8f96fa542f8b, 1592334401255
188e2a5d583c, 1592334401285
8f96fa542f8b, 1592334401325
4b86a2021b77, 1592334401376
8f96fa542f8b, 1592334401382
26f29effeddc, 1592334401438
8f96fa542f8b, 1592334401454
4b86a2021b77, 1592334401482
8f96fa542f8b, 1592334401512
8f96fa542f8b, 1592334401581
26f29effeddc, 1592334401599
4b86a2021b77, 1592334401611
8f96fa542f8b, 1592334401632
8f96fa542f8b, 1592334401693
4b86a2021b77, 1592334401729
8f96fa542f8b, 1592334401729
8f96fa542f8b, 1592334402001
8f96fa542f8b, 1592334405914
4b86a2021b77, 1592334405922
8f96fa542f8b, 1592334405962
188e2a5d583c, 1592334405993
26f29effeddc, 1592334406009
26f29effeddc, 1592334406031
4b86a2021b77, 1592334406050
8f96fa542f8b, 1592334406058
8f96fa542f8b, 1592334406085
188e2a5d583c, 1592334406099
26f29effeddc, 1592334406153
4b86a2021b77, 1592334406155
4b86a2021b77, 1592334406198
8f96fa542f8b, 1592334406198
4b86a2021b77, 1592334406225
8f96fa542f8b, 1592334406259
8f96fa542f8b, 1592334406270
188e2a5d583c, 1592334406306
8f96fa542f8b, 1592334406328
188e2a5d583c, 1592334406329
188e2a5d583c, 1592334406387
8f96fa542f8b, 1592334406432
4b86a2021b77, 1592334406446
8f96fa542f8b, 1592334406478
26f29effeddc, 1592334406504
4b86a2021b77, 1592334406536
8f96fa542f8b, 1592334406547
26f29effeddc, 1592334406582
188e2a5d583c, 1592334406612
4b86a2021b77, 1592334406639
26f29effeddc, 1592334406651
8f96fa542f8b, 1592334406652
4b86a2021b77, 1592334406661
8f96fa542f8b, 1592334406662
8f96fa542f8b, 1592334406725
188e2a5d583c, 1592334406732
4b86a2021b77, 1592334406751
26f29effeddc, 1592334406751
8f96fa542f8b, 1592334406756
8f96fa542f8b, 1592334406809
4b86a2021b77, 1592334406809
4b86a2021b77, 1592334406862
4b86a2021b77, 1592334406936
26f29effeddc, 1592334406962
26f29effeddc, 1592334407020
188e2a5d583c, 1592334407076
8f96fa542f8b, 1592334407079
8f96fa542f8b, 1592334407124
8f96fa542f8b, 1592334407180
4b86a2021b77, 1592334407252
188e2a5d583c, 1592334407322
4b86a2021b77, 1592334410925
8f96fa542f8b, 1592334410939
8f96fa542f8b, 1592334410940
188e2a5d583c, 1592334410994
26f29effeddc, 1592334411002
4b86a2021b77, 1592334411051
8f96fa542f8b, 1592334411058
188e2a5d583c, 1592334411082
8f96fa542f8b, 1592334411085
26f29effeddc, 1592334411092
26f29effeddc, 1592334411149
4b86a2021b77, 1592334411156
4b86a2021b77, 1592334411195
8f96fa542f8b, 1592334411242
8f96fa542f8b, 1592334411242
8f96fa542f8b, 1592334411256
4b86a2021b77, 1592334411286
188e2a5d583c, 1592334411315
8f96fa542f8b, 1592334411329
188e2a5d583c, 1592334411372
4b86a2021b77, 1592334411421
8f96fa542f8b, 1592334411432
188e2a5d583c, 1592334411446
8f96fa542f8b, 1592334411484
26f29effeddc, 1592334411526
26f29effeddc, 1592334411553
4b86a2021b77, 1592334411579
8f96fa542f8b, 1592334411579
4b86a2021b77, 1592334411588
8f96fa542f8b, 1592334411614
188e2a5d583c, 1592334411640
26f29effeddc, 1592334411656
4b86a2021b77, 1592334411666
4b86a2021b77, 1592334411688
8f96fa542f8b, 1592334411692
8f96fa542f8b, 1592334411699
26f29effeddc, 1592334411729
8f96fa542f8b, 1592334411740
188e2a5d583c, 1592334411800
4b86a2021b77, 1592334411802
8f96fa542f8b, 1592334411816
26f29effeddc, 1592334411886
4b86a2021b77, 1592334411899
4b86a2021b77, 1592334411957
188e2a5d583c, 1592334411962
26f29effeddc, 1592334412009
8f96fa542f8b, 1592334412078
8f96fa542f8b, 1592334412152
8f96fa542f8b, 1592334412194
4b86a2021b77, 1592334412226
188e2a5d583c, 1592334412297
8f96fa542f8b, 1592334415914
4b86a2021b77, 1592334415923
8f96fa542f8b, 1592334415962
188e2a5d583c, 1592334415978
26f29effeddc, 1592334416009
26f29effeddc, 1592334416032
4b86a2021b77, 1592334416051
8f96fa542f8b, 1592334416060
188e2a5d583c, 1592334416082
8f96fa542f8b, 1592334416086
26f29effeddc, 1592334416149
4b86a2021b77, 1592334416156
4b86a2021b77, 1592334416198
8f96fa542f8b, 1592334416239
8f96fa542f8b, 1592334416239
8f96fa542f8b, 1592334416255
4b86a2021b77, 1592334416285
8f96fa542f8b, 1592334416311
4b86a2021b77, 1592334416325
188e2a5d583c, 1592334416332
188e2a5d583c, 1592334416354
188e2a5d583c, 1592334416411
8f96fa542f8b, 1592334416459
8f96fa542f8b, 1592334416482
26f29effeddc, 1592334416518
4b86a2021b77, 1592334416550
8f96fa542f8b, 1592334416567
4b86a2021b77, 1592334416575
26f29effeddc, 1592334416596
8f96fa542f8b, 1592334416636
4b86a2021b77, 1592334416649
188e2a5d583c, 1592334416649
26f29effeddc, 1592334416662
8f96fa542f8b, 1592334416666
4b86a2021b77, 1592334416724
8f96fa542f8b, 1592334416729
188e2a5d583c, 1592334416736
8f96fa542f8b, 1592334416759
26f29effeddc, 1592334416772
8f96fa542f8b, 1592334416786
4b86a2021b77, 1592334416803
4b86a2021b77, 1592334416905
4b86a2021b77, 1592334416948
26f29effeddc, 1592334416973
26f29effeddc, 1592334417049
8f96fa542f8b, 1592334417070
188e2a5d583c, 1592334417119
8f96fa542f8b, 1592334417128
8f96fa542f8b, 1592334417205
4b86a2021b77, 1592334417262
188e2a5d583c, 1592334417325
8f96fa542f8b, 1592334420913
4b86a2021b77, 1592334420925
8f96fa542f8b, 1592334420939
26f29effeddc, 1592334420973
188e2a5d583c, 1592334421016
26f29effeddc, 1592334421032
188e2a5d583c, 1592334421035
8f96fa542f8b, 1592334421059
4b86a2021b77, 1592334421059
8f96fa542f8b, 1592334421096
8f96fa542f8b, 1592334421165
26f29effeddc, 1592334421169
4b86a2021b77, 1592334421179
188e2a5d583c, 1592334421224
8f96fa542f8b, 1592334421242
4b86a2021b77, 1592334421251
8f96fa542f8b, 1592334421281
8f96fa542f8b, 1592334421308
4b86a2021b77, 1592334421322
188e2a5d583c, 1592334421363
26f29effeddc, 1592334421371
8f96fa542f8b, 1592334421376
4b86a2021b77, 1592334421413
8f96fa542f8b, 1592334421435
188e2a5d583c, 1592334421436
8f96fa542f8b, 1592334421512
26f29effeddc, 1592334421526
4b86a2021b77, 1592334421559
4b86a2021b77, 1592334421559
8f96fa542f8b, 1592334421561
26f29effeddc, 1592334421570
8f96fa542f8b, 1592334421587
4b86a2021b77, 1592334421608
188e2a5d583c, 1592334421620
8f96fa542f8b, 1592334421665
188e2a5d583c, 1592334421702
26f29effeddc, 1592334421742
4b86a2021b77, 1592334421744
8f96fa542f8b, 1592334421794
4b86a2021b77, 1592334421832
8f96fa542f8b, 1592334421833
26f29effeddc, 1592334421902
4b86a2021b77, 1592334421903
26f29effeddc, 1592334421994
4b86a2021b77, 1592334421996
8f96fa542f8b, 1592334422024
188e2a5d583c, 1592334422054
8f96fa542f8b, 1592334422114
8f96fa542f8b, 1592334422173
4b86a2021b77, 1592334422259
188e2a5d583c, 1592334422326
4b86a2021b77, 1592334425924
