Time,8f96fa542f8b,4b86a2021b77,26f29effeddc,188e2a5d583c
0,0,0,0,0
10,0,0,0,0
20,0,0,0,0
30,0,0,0,0
40,0,0,0,0
50,0,0,0,0
60,20,12,6,3
70,57,40,24,21
80,96,68,42,39
90,134,96,60,57
100,172,123,78,75
110,210,151,96,93
120,248,179,114,111
130,286,207,132,129
140,324,236,150,147
150,361,264,168,165
160,400,292,186,183
170,437,319,204,201
