Time,60b90bf4acfc,a4a5072f8ff0,b6759833b9d8,fb897af970b5
0,0,0,0,0
20,0,0,0,0
40,0,0,0,0
60,9,9,9,9
80,9,9,9,9
100,18,18,9,0
120,18,18,9,0
140,12,12,9,12
160,12,12,0,12
180,9,9,9,9
200,18,18,0,0
220,18,12,12,12
240,18,12,12,12
260,9,9,9,9
280,9,9,9,9
300,9,9,9,9
320,9,9,9,9
340,9,9,9,9
