"Time","60b90bf4acfc","a4a5072f8ff0","b6759833b9d8","fb897af970b5"
1592601306500,,,,
1592601307000,,,,
1592601307500,,,,
1592601308000,,,,
1592601308500,,,,
1592601309000,105504,92512,109248,107424
1592601309500,,,,
1592601310000,,,,
1592601310500,,,,
1592601311000,,,,
1592601311500,,,,
1592601312000,,,,
1592601312500,,,,
1592601313000,,,,
1592601313500,,,,
1592601314000,119232,92736,122336,121152
1592601314500,,,,
1592601315000,,,,
1592601315500,,,,
1592601316000,,,,
1592601316500,,,,
1592601317000,,,,
1592601317500,,,,
1592601318000,,,,
1592601318500,,,,
1592601319000,133312,106816,,
1592601319500,,,,
1592601320000,,,134432,135872
1592601320500,,,,
1592601321000,,,,
1592601321500,,,,
1592601322000,,,,
1592601322500,,,,
1592601323000,,,,
1592601323500,,,,
1592601324000,,120256,,
1592601324500,,,,
1592601325000,148896,,148512,
1592601325500,,,,
1592601326000,,,,
1592601326500,,,,
1592601327000,,,,
1592601327500,,,,
1592601328000,,,,
1592601328500,,,,
1592601329000,,,,
1592601329500,,,,
1592601330000,161888,136320,163424,
1592601330500,,,,
1592601331000,,,,
1592601331500,,,,
1592601332000,,,,
1592601332500,,,,
1592601333000,,,,
1592601333500,,,,
1592601334000,,,,
1592601334500,,,,
1592601335000,175328,149760,,
1592601335500,,,,
1592601336000,,,,
1592601336500,,,,
1592601337000,,,,
1592601337500,,,,
1592601338000,,,,
1592601338500,,,,
1592601339000,,,,
1592601339500,,,,
1592601340000,89536,163968,,
1592601340500,,,,
1592601341000,,,,
1592601341500,,,,
1592601342000,,,,
1592601342500,,,,
1592601343000,,,,
1592601343500,,,,
1592601344000,,,,
1592601344500,,,,
1592601345000,105984,94848,,
1592601345500,,,,
1592601346000,,,,
1592601346500,,,,
1592601347000,,,,
1592601347500,,,,
1592601348000,,,,
1592601348500,,,,
1592601349000,,,,
1592601349500,,,,
1592601350000,115328,111520,,
1592601350500,,,,
1592601351000,,,,
1592601351500,,,,
1592601352000,,,,
1592601352500,,,,
1592601353000,,,,
1592601353500,,,,
1592601354000,,,,97184
1592601354500,,,,
1592601355000,177760,137984,,
1592601355500,,,,
1592601356000,,,,
1592601356500,,,,
1592601357000,,,,
1592601357500,,,,
1592601358000,,,,
1592601358500,,,,
1592601359000,,,,78656
1592601359500,,,,
1592601360000,,138080,,
1592601360500,,,,
1592601361000,174720,,,
1592601361500,,,,
1592601362000,,,,
1592601362500,,,,
1592601363000,,,,
1592601363500,,,,
1592601364000,,,,86816
1592601364500,,,,
1592601365000,,,,
1592601365500,,,,
1592601366000,200480,159680,,
1592601366500,,,,
1592601367000,,,,
1592601367500,,,,
1592601368000,,,,
1592601368500,,,,
1592601369000,,,,
1592601369500,,,,
1592601370000,,,,
1592601370500,,,,
1592601371000,136512,180512,,
1592601371500,,,,
1592601372000,,,,
1592601372500,,,,
1592601373000,,,,
1592601373500,,,,
1592601374000,,,,
1592601374500,,,,
1592601375000,,,,
1592601375500,,,,
1592601376000,115808,125472,,
1592601376500,,,,
1592601377000,,,,
1592601377500,,,,
1592601378000,,,,97824
1592601378500,,,,
1592601379000,,,,
1592601379500,,,,
1592601380000,,,,
1592601380500,,,,
1592601381000,161440,167744,,
1592601381500,,,,
1592601382000,,,,
1592601382500,,,,
1592601383000,,,,78496
1592601383500,,,,
1592601384000,,,,
1592601384500,,,,
1592601385000,,,,
1592601385500,,,,
1592601386000,148384,117344,,
1592601386500,,,,
1592601387000,,,,
1592601387500,,,,
1592601388000,,,,124448
1592601388500,,,,
1592601389000,,,,
1592601389500,,,,
1592601390000,,,,
1592601390500,,,,
1592601391000,,104864,,
1592601391500,,,,
1592601392000,121056,,,
1592601392500,,,,
1592601393000,,,,
1592601393500,,,,
1592601394000,,,,
1592601394500,,,,
1592601395000,,,,
1592601395500,,,,
1592601396000,,,,
1592601396500,,,,
1592601397000,134752,117440,,
1592601397500,,,,
1592601398000,,,,
1592601398500,,,,
1592601399000,,,,
1592601399500,,,,
1592601400000,,,,
1592601400500,,,,
1592601401000,,,,
1592601401500,,,,
1592601402000,149248,132160,,
1592601402500,,,,
1592601403000,,,,
1592601403500,,,,
1592601404000,,,,
1592601404500,,,,
1592601405000,,,,
1592601405500,,,,
1592601406000,,,,
1592601406500,,,,
1592601407000,127552,174592,,
1592601407500,,,,
1592601408000,,,,
1592601408500,,,,
1592601409000,,,,
1592601409500,,,,
1592601410000,,,95008,
1592601410500,,,,
1592601411000,,,,
1592601411500,,,,
1592601412000,140832,129152,,
1592601412500,,,,
1592601413000,,,,
1592601413500,,,,
1592601414000,,,,
1592601414500,,,,
1592601415000,,,124768,
1592601415500,,,,
1592601416000,,,,
1592601416500,,,,
1592601417000,168992,107264,,97184
1592601417500,,,,
1592601418000,,,,
1592601418500,,,,
1592601419000,,,,
1592601419500,,,,
1592601420000,,,122368,
1592601420500,,,,
1592601421000,,,,
1592601421500,,,,
1592601422000,113440,97568,,78016
1592601422500,,,,
1592601423000,,,,
1592601423500,,,,
1592601424000,,,,
1592601424500,,,,
1592601425000,,,117504,
1592601425500,,,,
1592601426000,,,,
1592601426500,,,,
1592601427000,,104256,,128032
1592601427500,,,,
1592601428000,125376,,,
1592601428500,,,,
1592601429000,,,,
1592601429500,,,,
1592601430000,,,125376,
1592601430500,,,,
1592601431000,,,,
1592601431500,,,,
1592601432000,,,,152192
