"Time","24d3987e9b67","6c0244b574f8","e3db9527e60b","e6f3d5f0b9f2"
1591627631000,,,,
1591627632000,,1972544,,
1591627633000,,,,
1591627634000,,,,
1591627635000,1954176,,1951168,1989056
1591627636000,,,,
1591627637000,,1965376,,
1591627638000,,,,
1591627639000,,,,
1591627640000,1945888,,1970816,1980096
1591627641000,,,,
1591627642000,,1955776,,
1591627643000,,,,
1591627644000,,,,
1591627645000,1936192,,,1971712
1591627646000,,,1959040,
1591627647000,,1973216,,
1591627648000,,,,
1591627649000,,,,
1591627650000,,,,1961696
1591627651000,1920416,,1941056,
1591627652000,,1960480,,
1591627653000,,,,
1591627654000,,,,
1591627655000,,,,1946976
1591627656000,1910784,,1960320,
1591627657000,,1951520,,
1591627658000,,,,
1591627659000,,,,
1591627660000,,,,
1591627661000,1901152,,1973312,1993024
1591627662000,,,,
1591627663000,,1964256,,
1591627664000,,,,
1591627665000,,,,
1591627666000,1961888,,1970336,1983456
1591627667000,,,,
1591627668000,,1973632,,
1591627669000,,,,
1591627670000,,,,
1591627671000,1952256,,1961920,1989152
1591627672000,,,,
1591627673000,,1965600,,
1591627674000,,,,
1591627675000,,,,
1591627676000,1943328,,1971584,1974208
1591627677000,,,,
1591627678000,,1957056,,
1591627679000,,,,
1591627680000,,,,
1591627681000,1933728,,,1959392
1591627682000,,,1963680,
1591627683000,,1973056,,
1591627684000,,,,
1591627685000,,,,
1591627686000,,,,1955296
1591627687000,1916640,,1950400,
1591627688000,,1961696,,
1591627689000,,,,
1591627690000,,,,
1591627691000,,,,1940896
1591627692000,1908384,,1968064,
1591627693000,,,,
1591627694000,,1952160,,
1591627695000,,,,
1591627696000,,,,
1591627697000,1898688,,1972544,1992896
1591627698000,,,,
1591627699000,,1962816,,
1591627700000,,,,
1591627701000,,,,
1591627702000,1961248,,1969344,1983296
1591627703000,,,,
1591627704000,,1974176,,
1591627705000,,,,
1591627706000,,,,
1591627707000,1952928,,1963584,1988416
1591627708000,,,,

