"Time","03cfac713ddb","05d4edb11ccc","05e2dc4bab48","12fe0edb1a22","142e2512faa4","15a356ee90d0","163e8d73fac5","166622bd256d","187ae6236163","1979919fbf0f","2031a9936382","22e7a6017802","28044ba4a7ad","30b396f84a51","313b8f5d58f6","3bfa9412b3ac","3d1d30a896da","3f2ea48c60e7","44f61de09fce","452cf0ed41fe","45e6d34f3c90","4da229ff9647","50242d33e417","507aa07cb3f4","534f7ede4add","6024efb8fa75","64028b5fe4a9","6fd3deb2ffa9","750c1c44fa91","79f51af621c3","7e1362b171c6","7e650620618f","a54271c49348","ac0c887de21e","ad93e254a539","b049c32b2cc4","b1d55b931020","b63b699c8207","bec16363de34","c0dfc0337d50","cb8816b39dc5","cbacbdd4ead4","d665d2bb7bd6","dd3871aa1c44","e25b10447cf0","e623c5f5dc60","e6f7c1e58817","e8ca08072d74","f86b4d7f6332","fb4d19ff5398"
1592770945000,,,1991488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990848,,,,,,,,,,,,,,,,,
1592770945500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770946000,,,,,,,,,1979264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995968,1980544,,,,,,,,,
1592770946500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770947000,,,,,,,1980544,1997888,,,,,,,,,,,,,,,,,,,1980544,,,,,1971616,,,,,,1983104,,,,,,,1980544,,,,,
1592770947500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770948000,1981824,,,,,,,,,,1981184,,,,,1981824,1981184,1971136,1981824,,,,,,,,,,,,1979264,,,1972640,1981824,1982464,,,1981824,,,,,,,,,,,
1592770948500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770949000,,1987360,,1980544,1979904,,,,,,,1980544,1980544,,1980544,,,,,1980544,1981824,1980544,1979904,,,1980544,,1979264,1980544,1978624,,,,,,,1978624,,,,,1979904,1981824,1981184,,1998528,1979264,1971360,1980544,1981184
1592770949500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770950000,,,1982464,,,1391424,,,,1980544,,,,1980544,,,,,,,,,,,1980544,,,,,,,,1980544,,,,,,,,,,,,,,,,,
