"Time","03cfac713ddb","05d4edb11ccc","05e2dc4bab48","12fe0edb1a22","142e2512faa4","15a356ee90d0","163e8d73fac5","166622bd256d","187ae6236163","1979919fbf0f","2031a9936382","22e7a6017802","28044ba4a7ad","30b396f84a51","313b8f5d58f6","3bfa9412b3ac","3d1d30a896da","3f2ea48c60e7","44f61de09fce","452cf0ed41fe","45e6d34f3c90","4da229ff9647","50242d33e417","507aa07cb3f4","534f7ede4add","6024efb8fa75","64028b5fe4a9","6fd3deb2ffa9","750c1c44fa91","79f51af621c3","7e1362b171c6","7e650620618f","a54271c49348","ac0c887de21e","ad93e254a539","b049c32b2cc4","b1d55b931020","b63b699c8207","bec16363de34","c0dfc0337d50","cb8816b39dc5","cbacbdd4ead4","d665d2bb7bd6","dd3871aa1c44","e25b10447cf0","e623c5f5dc60","e6f7c1e58817","e8ca08072d74","f86b4d7f6332","fb4d19ff5398"
1592770944000,,37868964,,37868956.00000001,37868948.00000001,,,,,,,,37868944,,37868952.00000001,,,,,37868956.00000001,37868940,37868944,37868960,,,37868964,,37868948.00000001,,37868952.00000001,,,,,,,37868952.00000001,,,,,37868944,37868960,37868960,,37868944,37868944,37868952.00000001,37868956.00000001,
1592770944500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770945000,,,37868940,,,,,,,37868940,,37868944,,37868944,,,,,,,,,,,37868944,,,,,,,,37868928,,,,,,,,,,,,,,,,,37868940
1592770945500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770946000,,,,,,,,,37868912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37868912,37868912,,,,,,,,,
1592770946500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770947000,,,,,,,37868868.00000001,37868896,,,,,,,,,,,,,,,,,,,37868900.00000001,,,,,37868900.00000001,,,,,,37868576.00000001,,,,,,,37868912,,,,,
1592770947500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770948000,37868564,,,,,,,,,,37868568.00000001,,,,,37868572.00000001,37868572.00000001,37868568.00000001,37868556.00000001,,,,,,,,,,,,37868552,,,37868568.00000001,37868568.00000001,37868568.00000001,,,37868552,,,,,,,,,,,
1592770948500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770949000,,37868548,,37868532,37868524,,,,,,,,37868524,,37868528.00000001,,,,,37868540,,37868520.00000001,37868544,,,37868548,,37868524,37868548,37868524,,,,,,,37868524,,,,,37868524,37868544,37868544,,37868524,37868520.00000001,37868528.00000001,37868540,
1592770949500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770950000,,,37868504.00000001,,,37868492.00000001,,,,37868512.00000001,,37868512.00000001,,37868512.00000001,,,,,,,37868520.00000001,,,,37868512.00000001,,,,,,,,37868496,,,,,,,,,,,,,,,,,37868520.00000001
1592770950500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770951000,,,,,,,,,37868480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37868480,,,,,,,,,,
1592770951500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770952000,,,,,,,37868444.00000001,37868448,,,,,,,,,,,,,,,,37868452.00000001,,,37868460,,,,,37868448,,,,,,,,,37868476,,,,37868472,,,,,
1592770952500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770953000,37868428.00000001,,,,,,,,,,37868432.00000001,,,,,37868436.00000001,37868436.00000001,37868432.00000001,37868428.00000001,,,,,,,,,,,,,,,37868432.00000001,37868432.00000001,37868432.00000001,,37868444.00000001,,,,,,,,,,,,
1592770953500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770954000,,37868416.00000001,,37868408,,,,,,,,,,,37868404,,,,,37868408,,,37868412.00000001,,,37868416.00000001,,,37868420,,37868424,,,,,,37868400,,37868424,,,,37868412.00000001,37868412.00000001,,,,37868404,37868408,
1592770954500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770955000,,,37868380,,37868396,37868372.00000001,,,,37868388,,37868388,37868396,37868388,,,,,,,37868392.00000001,37868396,,,37868388,,,37868396,,37868396,,,37868372.00000001,,,,,,,,,37868396,,,,37868396,37868396,,,37868392.00000001
1592770955500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770956000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770956500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770957000,,,,,,,,,37860876.00000001,,,,,,,,,,,,,,,37860848.00000001,,,37860868.00000001,,,,,37860848.00000001,,,,,,,,37860876.00000001,37860872.00000001,,,,37860868.00000001,,,,,
1592770957500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
