"Time","03cfac713ddb","05d4edb11ccc","05e2dc4bab48","12fe0edb1a22","142e2512faa4","15a356ee90d0","163e8d73fac5","166622bd256d","187ae6236163","1979919fbf0f","2031a9936382","22e7a6017802","28044ba4a7ad","30b396f84a51","313b8f5d58f6","3bfa9412b3ac","3d1d30a896da","3f2ea48c60e7","44f61de09fce","452cf0ed41fe","45e6d34f3c90","4da229ff9647","50242d33e417","507aa07cb3f4","534f7ede4add","6024efb8fa75","64028b5fe4a9","6fd3deb2ffa9","750c1c44fa91","79f51af621c3","7e1362b171c6","7e650620618f","a54271c49348","ac0c887de21e","ad93e254a539","b049c32b2cc4","b1d55b931020","b63b699c8207","bec16363de34","c0dfc0337d50","cb8816b39dc5","cbacbdd4ead4","d665d2bb7bd6","dd3871aa1c44","e25b10447cf0","e623c5f5dc60","e6f7c1e58817","e8ca08072d74","f86b4d7f6332","fb4d19ff5398"
1592770946000,,,,,,,,,97632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80928,96352,,,,,,,,,
1592770946500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770947000,,,,,,,96352,79008,,,,,,,,,,,,,,,,,,,96352,,,,,105280,,,,,,93792,,,,,,,96352,,,,,
1592770947500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770948000,95072,,,,,,,,,,95712,,,,,95072,95712,105760,95072,,,,,,,,,,,,97632,,,104256,95072,94432,,,95712,,,,,,,,,,,
1592770948500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770949000,,88896,,96352,96992,,,,,,,,96352,,96352,,,,,96992,95072,96352,96992,,,96352,,98272,96352,98272,,,,,,,98272,,,,,96992,95072,95712,,78368,97632,105536,96352,95712
1592770949500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770950000,,,94432,,,685472,,,,96352,,96352,,96352,,,,,,,,,,,96352,,,,,,,,96352,,,,,,,,,,,,,,,,,
1592770950500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770951000,,,,,,,,,105760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89696,104256,,,,,,,,,
1592770951500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770952000,,,,,,,101696,86336,,,,,,,,,,,,,,,,630592,,,103616,,,,,110880,,,,,,,,,,,,,104256,,,,,
1592770952500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770953000,102976,,,,,,,,,,102496,,,,,101696,102336,113440,101696,,,,,,,,,,,,104256,,,112096,102976,101696,,101056,,,,,,,,,,,,
1592770953500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770954000,,93600,,102976,104896,,,,,,,,104960,,104256,,,,,104256,,104256,104256,,,102976,,105536,102976,107520,,,,,,,105536,,103616,,,104416,102976,102976,,86976,,113856,102976,
1592770954500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770955000,,,101696,,,79488,,,,102976,,102976,,102976,,,,,,,102336,,,,102976,,,,,,,,102976,,,,,,,,,,,,,,104032,,,102976
1592770955500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770956000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770956500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770957000,,,,,,,,93376,112576,,,,,,,,,,,,,,,79712,,,113216,,,,,124448,,,,,,,,97216,111936,,,,110656,,,,,
1592770957500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770958000,109536,,,,,,110656,,,,109600,,,,,109376,110240,123488,108096,,,,,,,,,,,,,,,,110656,110656,,108096,,,,,,,,,,,,
1592770958500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770959000,,98528,,110816,110880,,,,,,,,,,110656,,,,,110656,,,111296,,,110880,,,111296,,109376,,,,,,113216,,110016,,,,110880,110240,,,,121408,110176,
1592770959500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770960000,,,109536,,,87168,,,,109600,,110016,111520,109376,,,,,,,109600,110656,,,110176,,,111296,,113216,,,109376,119232,,,,,,,,109600,,,,96640,110016,,,109600
1592770960500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770961000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770961500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770962000,,,,,,,,,124544,,,,,,,,,,,,,,,87808,,,122240,,,,,,,,,,,,,106176,120000,,,,119840,,,,,
1592770962500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770963000,119616,,,,,,118336,102976,,,118496,,,,,117696,,129824,117056,,,,,,,,,,,,,130048,,,117696,117696,,114656,,,,,,,,,,,,
1592770963500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770964000,,68832,,120256,,,,,,,,,,,,,,,,120960,,,121696,,,121536,,,119616,,120896,,,,,,,,,,,,120256,120960,,,,130464,119616,
1592770964500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770965000,,,117056,,121600,96416,,,,118336,,118560,120896,117056,120896,,,,,,117920,119776,,,118496,,,121056,,123456,,,117696,96608,,,123264,,,,,118336,,,,102976,120384,,,118336
1592770965500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770966000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770966500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770967000,,,,,,,,,130464,,,,,,,,,,,,,,,98112,,,130240,,,,,,,,,,,,,114496,126624,,,,128128,,,,,
1592770967500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770968000,127424,,,,,,,112096,,,127520,,,,,128704,,75040,,,,,,,,,,,,,,78880,,,127520,126400,,123680,,,,,,,,,,,,
1592770968500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770969000,,73536,,,,,,,,,,,,,,,,,,129184,,,131328,,,129184,,,129408,,130464,,,,,,,,,,,,127520,128800,,,,,126880,
1592770969500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770970000,,,126944,128800,129184,102144,96608,,,126944,,,128608,125760,129408,,96608,,,,127168,128160,,,127584,,,127904,,132864,,,124960,66592,,,64672,,,,,127904,,,,110880,127680,74176,,126240
1592770970500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770971000,,,,,,,,,,,,,,,,,,,96608,,,,,,,,,,,,,,,,,,,,97248,,,,,,,,,,,
1592770971500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770972000,,,,,,,,,74816,,,96608,,,,,,,,,,,,,,,76096,,,,,,,,,,,,,124736,72896,,,,72256,,,,,
1592770972500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770973000,,,,,,,,118976,,,72256,,,,,72256,,82720,,,,,,105984,,,,,,,,86624,,,71616,70976,,70400,,,,,,,,,,,,
1592770973500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770974000,72256,77376,,,,,,,,,,,,,,,,,,,,,74176,,,73536,,,72896,,73536,,,,,,,,,,,,,72256,,,,,,
1592770974500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770975000,,,70112,72256,74816,,68896,,,72256,,,74816,72256,73536,,70784,,,74816,70976,73536,,,72896,,,74816,,76096,,,72256,73120,,,77376,,,,,73536,72896,,,119680,73312,81216,72256,73536
1592770975500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770976000,,,,,,113024,,,,,,,,,,,,,100224,,,,,,,,,,,,,,,,,,,,66176,,,,,,,,,,,
1592770976500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770977000,,,,,,,,,83840,,,98944,,,,,,,,,,,,,,,,,,,,,,,,,,,,68064,82560,,,,81216,,,,,
1592770977500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770978000,,,,,,,,137056,,,,,,,,79296,,,,,,,,112384,,,85056,,,,,92960,,,,,,79936,,,,,,,,,,,,
1592770978500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770979000,79936,,,,,,,,,,80640,,,,,,,91680,,,,,,,,,,,81920,,82496,,,,82432,80448,,,,,,,,,,,,,,
1592770979500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770980000,,81440,80608,81088,82944,,73760,,,79936,,,81440,81920,82496,,74400,,,81216,79936,83008,83424,,81440,81216,,84000,,85056,,,81280,,,,85056,,,,,82496,80800,80320,,139744,81216,88896,79936,82880
1592770980500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770981000,,,,,,121920,,,,,,,,,,,,,71840,,,,,,,,,,,,,,,77184,,,,,94496,,,,,,,,,,,
1592770981500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770982000,,,,,,,,,84128,,,72256,,,,,,,,,,,,,,,,,,,,,,,,,,,,86176,86272,,,,109856,,,,,
1592770982500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770983000,,,,,,,,77344,,,,,,,,,,,,,,,,122560,,,117888,,,,,130176,,,,,,97856,,,,,,,,,,,,
1592770983500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770984000,110432,,,,,,,,,,109056,,,,,106432,,124032,,,,,,,,,,,109024,,91392,,,,106976,107392,,,,,,,,,,,,,,
1592770984500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770985000,,110784,,107168,110944,,81856,,,,,,89536,,110368,,,,,111008,87616,89056,110144,,,110720,,70464,,70016,,,,,,,114848,,,,,88896,110784,107840,,72064,90176,120608,107392,
1592770985500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770986000,,,87776,,,145696,,,,88256,,,,88896,,,96768,,92576,,,,,,89120,,,,,,,,87616,101600,,,,,92704,,,,,,,,,,,90176
1592770986500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770987000,,,,,,,,,97632,,,76320,,,,,,,,,,,,,,,,,,,,,,,,,,,,99680,101696,,,,,,,,,
1592770987500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770988000,,,,,,,,94496,,,,,,,,,,,,,,,,131584,,,131392,,,,,87808,,,,,,,,,,,,,126560,,,,,
1592770988500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770989000,121312,,,,,,,,,,122592,,,,,121216,,138144,,,,,,,,,,,,,107456,,,,121120,122176,,113280,,,,,,,,,,,,
1592770989500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770990000,,119136,,122592,87968,,,,,,,,97856,,84192,,,,,124512,,97856,124928,,,124864,,90528,122528,90080,,,,,,,88032,,,,,97376,125152,121344,,81248,96800,134944,121536,
1592770990500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770991000,,,95936,,,88544,90240,,,96736,,,,98080,,,105280,,102304,,95296,,,,96576,,,,,,,,95520,111936,,,,,,,,,,,,,,,,97856
1592770991500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770992000,,,,,,,,,,,,79520,,,,,,,,,,,,,,,,,,,,,,,,,,,101664,,,,,,,,,,,
1592770992500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770993000,,,,,,,,107712,111264,,,,,,,,,,,,,,,74720,,,145664,,,,,102528,,,,,,,,112896,113184,,,,139776,,,,,
1592770993500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770994000,135584,,,,,,,,,,135168,,,,,134208,,,,,,,,,,,,,,,,,,,134944,134304,,126496,,,,,,,,,,,,
1592770994500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770995000,,128032,,82464,103296,,,,,,,,105536,,97184,,,,,138144,,105120,138560,,,139136,,,135296,,118944,,,,,,101664,,,,,105696,138368,134304,,88288,,87584,134944,
1592770995500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770996000,,,104256,,,75328,99584,,,104256,,,,106880,,,114976,,83072,,104416,,,,105056,,,104576,,104576,,,103200,119712,,,,,,,,,,,,,105536,,,105536
1592770996500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770997000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110816,,,,,,,,,,,
1592770997500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770998000,,,,,,,,,124064,,,83520,,,,,,,,,,,,82272,,,88192,,,,,,,,,,,,,126976,127264,,,,151936,,,,,
1592770998500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770999000,85664,,,,,,,121280,,,72288,,,,,148992,,,,,,,,,,,,,,,,141248,,,69888,75488,,138656,,,,,,,,,,,,
1592770999500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592771000000,,106752,,95264,,,,,,,,,,,,,,,,88864,,,81376,,,151936,,,149376,,134944,,,,,,,,,,,,83968,76032,,,,133472,85664,
1592771000500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592771001000,,,111712,,116096,99328,108704,,,112352,,,112992,113632,110624,,123360,105536,91392,,112192,112896,,,112992,,,118016,,116736,,,111552,104224,,,115744,,,,,114976,,,,96160,114272,,,114752
1592771001500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592771002000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119072,,,,,,,,,,,
1592771002500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592771003000,,,,,,,,,173408,,,87840,,,,,,,,,,,,110752,,,80768,,,,,,,,,,,,,147936,167808,,,,76704,,,,,
1592771003500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592771004000,,,,,,,,147552,,,137088,,,,,168192,,,,,,,,,,,,,,,,90016,,,134592,166912,,168800,,,,,,,,,,,,
1592771004500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592771005000,,79488,,169184,,,,,,,,,,,,,,,,168448,,,171904,,,137600,,,166944,,169728,,,,,,,,,,,,168928,165088,,,,,134400,
1592771005500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592771006000,103872,,119872,,138016,113760,102848,,,119872,,,121376,121152,167648,,137728,77888,,,119872,122496,,,120512,,,,,140704,,,118592,69760,,,77696,,,,,121152,,,,103392,121792,77824,,122432
1592771006500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
