"Time","status {id: 172.22.0.11}","status {id: 172.22.0.12}","status {id: 172.22.0.13}","status {id: 172.22.0.14}","status {id: 172.22.0.15}","status {id: 172.22.0.16}","status {id: 172.22.0.17}","status {id: 172.22.0.18}","status {id: 172.22.0.19}","status {id: 172.22.0.20}","status {id: 172.22.0.21}","status {id: 172.22.0.22}","status {id: 172.22.0.23}","status {id: 172.22.0.24}","status {id: 172.22.0.25}","status {id: 172.22.0.26}","status {id: 172.22.0.27}","status {id: 172.22.0.28}","status {id: 172.22.0.29}","status {id: 172.22.0.30}","status {id: 172.22.0.31}","status {id: 172.22.0.32}","status {id: 172.22.0.33}","status {id: 172.22.0.34}","status {id: 172.22.0.35}","status {id: 172.22.0.36}","status {id: 172.22.0.37}","status {id: 172.22.0.38}","status {id: 172.22.0.39}","status {id: 172.22.0.40}","status {id: 172.22.0.41}","status {id: 172.22.0.42}","status {id: 172.22.0.43}","status {id: 172.22.0.44}","status {id: 172.22.0.45}","status {id: 172.22.0.46}","status {id: 172.22.0.47}","status {id: 172.22.0.48}","status {id: 172.22.0.49}","status {id: 172.22.0.50}","status {id: 172.22.0.51}","status {id: 172.22.0.52}","status {id: 172.22.0.53}","status {id: 172.22.0.54}","status {id: 172.22.0.55}","status {id: 172.22.0.56}","status {id: 172.22.0.57}","status {id: 172.22.0.58}","status {id: 172.22.0.59}","status {id: 172.22.0.60}"
1593036901000,,,1,1,1,,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593036906000,,,1,1,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1593036912000,,,1,1,1,1,,,1,,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1593036916000,,,1,,,,,,1,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593036927000,,,1,1,1,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
1593036932000,,,1,1,,,,,1,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
1593036945000,,,1,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1593036959000,,,1,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1593036968000,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1593037013000,,,1,1,,,,1,,,,,0,,,,,1,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,0,
1593037047000,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,
1593037067000,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,1,,1,,,,,,,,
1593037085000,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
1593037093000,,,1,,,0,,,,,,1,,,,,,,,1,1,,,,,,1,1,1,,,,,,1,,,,,,,1,1,,,,,,1,
1593037103000,,,0,,,,,,,,,1,,,0,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,,1,,,,,,,,
1593037129000,,,1,,1,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,1,,,,1,,,,,,,,,
1593037151000,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,
1593036891000,,,,1,1,1,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593036896000,,,,0,0,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593036917000,,,,1,1,1,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1593036922000,,,,0,0,0,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1593036967000,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
1593036989000,,,,1,1,1,,,,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
1593037046000,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,1,1,
1593037065000,,,,1,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593037091000,,,,1,,,1,,,1,,,1,,,,,,,,,1,,,,,,,,1,1,,,,,,,,,,1,,,,,1,,,,
1593037100000,,,,0,,,1,,,,1,,1,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,
1593037111000,,,,1,,1,0,,,,0,,,,,,,0,,,,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,
1593036881000,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593036886000,,,,,1,1,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593036907000,,,,,1,1,,,,,,,1,,,,1,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
1593036933000,,,,,1,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593036948000,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593036969000,,,,,1,1,,,,,1,1,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593037008000,,,,,1,1,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,
1593037023000,,,,,0,,,,1,,1,,,,,,,,,,,,,,,,,1,1,,,,,,1,,1,,,1,,1,,,,,,,,
1593037039000,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,1,1,,1,,,1,,,,
1593037054000,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593037063000,,,,,1,,,,,,1,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
1593037073000,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,1,,,,,
1593037092000,,,,,0,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
1593037099000,,,,,0,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
1593037108000,,,,,1,,,,,,,,,0,,,,,,,,,,0,0,,,,,,,,,,,,0,,,,0,,,,,,,,,
1593037152000,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,
1593036897000,,,,,,0,,,,,,,1,,,,1,,1,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,
1593036902000,,,,,,1,,,,,,,0,,,,0,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
1593036928000,,,,,,1,,,,,,,0,,,,0,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
1593036949000,,,,,,1,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593037017000,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593037041000,,,,,,1,,,,,,,,,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,
1593037075000,,,,,,1,,,,,,,,,,,,1,,,1,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,1
1593037101000,,,,,,0,,,,,,,,,,,1,,0,1,0,,0,,,,,,,,,0,,,1,,,,,,,,1,,,,,,,
1593037117000,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1593037130000,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,
1593037156000,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1593036987000,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,
1593037001000,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,1,,,,,,,
1593037044000,,,,,,,1,,,,1,,,,,,,,,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1
1593037064000,,,,,,,1,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593037139000,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
1593036899000,,,,,,,,0,,,,,,,,,,,,,,,,,,,1,1,,,1,,,1,,1,1,1,1,,1,,1,1,1,,1,1,1,1
1593036939000,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1
1593036955000,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,1,,,1,1,,1
1593036964000,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,1,,1,,,,,,1,,1,,,,1
1593036974000,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1
1593036984000,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,1,1,1,
1593036998000,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,1,1,,,,,,,1,,,1,1,,
1593037020000,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,1,
1593037033000,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,1,
1593037069000,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,
1593037087000,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593037094000,,,,,,,,0,1,,,,,,1,,,,1,,,,1,,,1,,,,,,1,,,,,,,,1,,,,,,,,,,
1593037104000,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
1593037114000,,,,,,,,1,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,0,,0,,,,0,0,0,,,,,,
1593037134000,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,1,,,,1,,
1593037145000,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,1,,,,,,,,,,,1,
1593037015000,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,0,0,0,,,,,,,,0,,,0,,,,,,,,,,
1593037053000,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,
1593037060000,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,
1593037086000,,,,,,,,,1,,,,,,1,,,,1,,,,1,,,,,,,,,1,,,,,,,,1,,,,,,,,,,
1593037102000,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
1593037113000,,,,,,,,,0,,,,0,,1,,,,,0,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,
1593037119000,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,1,,1,,,,,,1,,,,,,,,,,
1593037131000,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,1
1593037143000,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,,,,,1,,,1,,,,,,,
1593036944000,,,,,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593037022000,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
1593037038000,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593037059000,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593037097000,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593037107000,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1593037128000,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593036960000,,,,,,,,,,,1,,1,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593036994000,,,,,,,,,,,1,,,,,1,1,,,,,1,1,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,
1593037074000,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,
1593037136000,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593037155000,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593036947000,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593037011000,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,
1593037019000,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,1,,,,
1593037034000,,,,,,,,,,,,0,0,,,,,,,,,1,,,,,,,,,,,0,,,,,,1,,,,,,1,1,1,,,
1593037040000,,,,,,,,,,,,1,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,
1593037068000,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,
