Time,192.168.1.179,192.168.1.200,192.168.1.206,192.168.1.207
0,0,0,0,0
10,0,0,0,0
20,0,0,0,0
30,9,9,9,9
40,9,9,9,9
50,9,9,9,9
60,9,9,9,
70,9,9,9,
80,9,9,9,
90,9,9,9,
100,12,12,12,
110,12,12,12,
120,12,12,,
130,12,12,,
140,12,12,,
150,12,12,,
160,18,18,,
170,18,18,,
180,,18,,
190,,18,,
200,,18,,
210,,0,,
220,,0,,
230,,0,,
240,,0,,
250,,0,,
260,,0,,
270,,0,,
280,,0,,
