"Time","05a1edad2fbe","475b23bd6fe1","61e1d49d0982","6501f2170a37"
1591462605000,,,,
1591462606000,1927424,,,
1591462607000,,,,
1591462608000,,,,1938176
1591462609000,,,,
1591462610000,,,,
1591462611000,1916480,,,
1591462612000,,,,
1591462613000,,,,1928288
1591462614000,,,,
1591462615000,,,,
1591462616000,1970592,,,
1591462617000,,,,
1591462618000,,,,1912224
1591462619000,,,,
1591462620000,,,,
1591462621000,1960480,,,
1591462622000,,,,
1591462623000,,,,1959776
1591462624000,,,,
1591462625000,,,,
1591462626000,1947040,,,
1591462627000,,,,
1591462628000,,,,1962880
1591462629000,,,,
1591462630000,,,,
1591462631000,,,,
1591462632000,1963680,,,
1591462633000,,,,1937088
1591462634000,,,,
1591462635000,,,,
1591462636000,,,,

