"Time","05a1edad2fbe","475b23bd6fe1","61e1d49d0982","6501f2170a37"
1591462619000,,,,
1591462620000,,,,
1591462621000,117056,,,
1591462622000,,,,
1591462623000,,,,106240
1591462624000,,,,
1591462625000,,,,
1591462626000,130496,,,
1591462627000,,,,
1591462628000,,,,116608
1591462629000,,,,
1591462630000,,,,
1591462631000,,,,
1591462632000,113856,,,
1591462633000,,,,141216
1591462634000,,,,
1591462635000,,,,
1591462636000,,,,
1591462637000,128576,,,
1591462638000,,,,
1591462639000,,,,158848
1591462640000,,,,
1591462641000,,,,
1591462642000,143936,,,
1591462643000,,,,
1591462644000,,,,177920
1591462645000,,,,
1591462646000,,,,
1591462647000,156096,,,
1591462648000,,,,
1591462649000,,,,196160
1591462650000,,,,
1591462651000,,,,

