"Time","7148523d94bd","aece112a7432","d608eb37d412","ee41be874475"
1591870468400,,,,
1591870468600,,,,
1591870468800,,,,
1591870469000,,,,
1591870469200,,,,
1591870469400,,,,
1591870469600,,,,
1591870469800,,,,
1591870470000,,,,
1591870470200,,,,
1591870470400,,,,
1591870470600,,,,
1591870470800,,,,
1591870471000,,,,
1591870471200,,,,
1591870471400,,,,
1591870471600,,,,
1591870471800,,,,
1591870472000,,,,
1591870472200,,,,
1591870472400,,,,
1591870472600,,,,
1591870472800,,,,
1591870473000,83904,129056,94048,130560
1591870473200,,,,
1591870473400,,,,
1591870473600,,,,
1591870473800,,,,
1591870474000,,,,
1591870474200,,,,
1591870474400,,,,
1591870474600,,,,
1591870474800,,,,
1591870475000,,,,
1591870475200,,,,
1591870475400,,,,
1591870475600,,,,
1591870475800,,,,
1591870476000,,,,
1591870476200,,,,
1591870476400,,,,
1591870476600,,,,
1591870476800,,,,
1591870477000,,,,
1591870477200,,,,
1591870477400,,,,
1591870477600,,,,
1591870477800,,,,
1591870478000,104224,144416,94336,88928
1591870478200,,,,
1591870478400,,,,
1591870478600,,,,
1591870478800,,,,
1591870479000,,,,
1591870479200,,,,
1591870479400,,,,
1591870479600,,,,
1591870479800,,,,
1591870480000,,,,
1591870480200,,,,
1591870480400,,,,
1591870480600,,,,
1591870480800,,,,
1591870481000,,,,
1591870481200,,,,
1591870481400,,,,
1591870481600,,,,
1591870481800,,,,
1591870482000,,,,
1591870482200,,,,
1591870482400,,,,
1591870482600,,,,
1591870482800,,,,
1591870483000,115680,157792,112512,97664
1591870483200,,,,
1591870483400,,,,
1591870483600,,,,
1591870483800,,,,
1591870484000,,,,
1591870484200,,,,
1591870484400,,,,
1591870484600,,,,
1591870484800,,,,
1591870485000,,,,
1591870485200,,,,
1591870485400,,,,
1591870485600,,,,
1591870485800,,,,
1591870486000,,,,
1591870486200,,,,
1591870486400,,,,
1591870486600,,,,
1591870486800,,,,
1591870487000,,,,
1591870487200,,,,
1591870487400,,,,
1591870487600,,,,
1591870487800,,,,
1591870488000,130208,171872,125312,112192
1591870488200,,,,
1591870488400,,,,
1591870488600,,,,
1591870488800,,,,
1591870489000,,,,
1591870489200,,,,
1591870489400,,,,
1591870489600,,,,
1591870489800,,,,
1591870490000,,,,
1591870490200,,,,
1591870490400,,,,
1591870490600,,,,
1591870490800,,,,
1591870491000,,,,
1591870491200,,,,
1591870491400,,,,
1591870491600,,,,
1591870491800,,,,
1591870492000,,,,
1591870492200,,,,
1591870492400,,,,
1591870492600,,,,
1591870492800,,,,
1591870493000,83648,186592,86784,93184
1591870493200,,,,
1591870493400,,,,
1591870493600,,,,
1591870493800,,,,
1591870494000,,,,
1591870494200,,,,
1591870494400,,,,
1591870494600,,,,
1591870494800,,,,
